,b,c,e,f,g,h,i,m,n,a,d,j,k,l
235,4,8,4,12,4,4,0,39,0,24,11,0,0,58
236,4,14,4,10,2,4,0,39,0,35,15,0,0,63
237,2,15,2,10,0,4,1,39,1,54,10,4592,842,46
238,6,11,6,3,1,4,1,39,0,57,9,1175,214,38
239,4,15,4,8,1,4,1,39,0,25,10,176,312,23
240,4,7,2,13,0,4,1,39,1,41,12,749,234,55
241,4,11,2,14,0,4,1,39,0,40,9,1328,108,63
242,2,15,0,1,4,4,0,39,0,30,10,0,0,49
243,4,11,4,4,1,4,0,39,0,23,9,33,0,41
244,4,15,2,3,0,4,1,39,0,31,10,1173,358,36
245,6,11,2,4,0,4,1,39,0,62,9,253,0,46
246,6,9,2,3,0,4,1,11,0,66,13,2290,0,40
247,4,8,4,1,1,2,1,39,0,31,11,0,0,45
248,4,15,4,6,3,4,1,39,0,26,10,0,6,26
249,0,12,2,0,5,4,0,39,0,61,14,0,0,10
250,2,12,0,10,1,4,0,39,0,45,14,461,246,35
251,6,11,2,3,0,4,1,39,1,48,9,5144,92,51
252,4,11,2,3,0,4,1,39,1,46,9,15018,143,49
253,4,12,2,4,0,4,1,39,1,40,14,22891,574,63
254,4,11,2,14,0,2,1,39,0,43,9,420,274,41
255,4,15,0,4,4,4,0,39,0,38,10,3193,38,27
256,6,8,2,5,0,4,1,39,1,38,11,1171,0,58
257,4,5,5,14,1,4,1,39,0,30,4,0,0,35
258,4,6,4,7,4,2,0,39,0,57,5,0,227,40
259,6,11,2,14,0,4,1,39,0,39,9,778,404,48
260,4,15,5,1,4,4,0,39,0,37,10,0,0,36
261,4,11,2,3,0,4,1,39,0,54,9,2227,114,55
262,4,11,2,6,0,4,1,39,0,54,9,1352,232,22
263,4,12,4,10,1,4,1,39,0,49,14,1139,249,78
264,4,11,2,7,0,4,1,39,0,41,9,699,223,45
265,4,11,2,3,0,4,1,39,1,41,9,2863,566,39
266,6,11,4,3,3,4,1,39,0,49,9,0,0,35
267,0,15,4,0,3,4,1,39,0,20,10,55,98,46
268,4,15,4,1,1,4,0,39,0,29,10,1152,135,21
269,4,0,2,3,0,4,1,39,0,57,6,1052,40,44
270,1,7,4,8,3,4,1,39,0,22,12,0,0,20
271,6,14,4,10,1,4,0,30,0,61,15,0,0,30
272,4,9,2,10,0,4,1,39,1,61,13,18173,482,55
273,2,11,4,3,1,0,1,39,0,34,9,0,0,40
274,4,15,2,3,0,4,1,39,1,37,10,779,35,40
275,0,15,4,0,3,4,1,39,0,18,10,106,59,40
276,4,15,4,7,3,4,1,39,0,28,10,0,0,32
277,2,11,2,8,0,4,1,39,0,32,9,1289,275,33
278,4,5,2,7,0,4,1,39,0,35,4,0,0,51
279,4,7,4,10,1,1,1,39,0,31,12,0,0,40
280,4,11,0,8,4,0,0,39,0,36,9,3792,0,40
281,0,11,4,0,3,4,1,39,0,18,9,0,236,49
282,4,8,0,8,1,4,0,39,0,64,11,0,0,15
283,4,15,0,7,1,4,1,39,0,34,10,2331,268,47
284,4,9,4,12,3,4,1,39,0,28,13,1210,402,11
285,6,9,4,8,1,2,0,39,0,35,13,0,0,60
286,2,11,5,8,4,4,1,39,1,30,9,0,0,40
287,4,11,2,3,0,4,1,39,0,50,9,891,775,52
288,4,15,4,1,3,2,0,39,0,24,10,0,0,18
289,5,5,6,4,1,4,0,39,0,82,4,0,0,40
290,4,11,2,10,0,4,1,39,0,62,9,1101,24,38
291,4,11,2,4,0,4,1,39,0,62,9,330,238,59
292,6,12,2,10,0,4,1,39,1,49,14,35490,1469,40
293,4,15,4,8,3,4,0,39,0,22,10,169,216,29
294,4,8,0,10,1,4,0,39,0,54,11,0,1027,44
295,4,11,0,1,4,4,0,39,0,40,9,87,263,41
296,4,3,4,8,1,4,1,8,0,38,2,0,0,26
297,4,15,2,10,0,4,1,39,1,31,10,6866,209,42
298,7,9,2,1,0,4,1,39,1,46,13,4256,617,39
299,4,11,0,8,1,4,0,39,0,51,9,170,431,38
300,4,11,5,1,1,4,0,39,0,52,9,0,830,28
301,4,15,2,3,0,4,1,39,0,58,10,1788,269,47
302,4,15,4,8,3,1,0,39,0,23,10,0,0,23
303,4,11,5,4,1,4,1,39,1,39,9,14344,0,40
304,4,11,0,7,4,4,0,39,0,37,9,0,0,52
305,4,9,4,10,3,4,0,39,0,23,13,0,469,37
306,4,11,2,6,0,4,1,39,0,19,9,419,487,39
307,4,11,2,14,0,4,1,39,0,50,9,1079,110,55
308,4,12,2,12,0,4,1,39,1,32,14,4470,371,66
309,4,15,2,3,0,4,1,39,0,41,10,1419,489,50
310,2,11,3,6,4,4,1,39,0,51,9,0,0,40
311,4,15,2,7,0,4,1,39,0,32,10,1576,237,34
312,0,15,6,0,1,4,1,39,0,78,10,0,0,5
313,4,15,2,12,0,4,1,39,1,27,10,10415,166,49
314,4,11,0,8,1,4,0,39,0,38,9,74,348,46
315,4,11,0,7,1,4,1,39,0,49,9,12,475,35
316,6,11,2,4,0,4,1,39,0,59,9,381,0,66
317,4,0,2,7,0,2,1,39,1,43,6,0,1887,40
318,4,9,2,3,0,4,1,39,0,32,13,405,0,47
319,4,8,0,7,1,2,1,39,0,39,11,0,0,45
320,2,15,0,11,4,2,0,39,0,39,10,0,0,40
321,5,11,2,4,0,4,1,39,0,65,9,251,174,53
322,4,11,4,3,1,4,1,39,0,36,9,3,381,45
323,4,11,2,12,0,4,1,39,0,27,9,966,333,43
324,4,7,4,6,1,4,1,39,0,29,12,0,0,30
325,4,11,0,3,1,4,1,39,1,51,9,391,0,39
326,4,11,4,12,2,4,1,39,0,18,9,0,0,47
327,4,0,0,3,3,4,1,39,0,24,6,0,0,40
328,4,15,0,4,1,4,0,39,0,42,10,545,1040,30
329,4,11,0,1,1,4,0,39,0,26,9,0,294,41
330,1,11,4,1,3,4,1,39,0,36,9,0,0,37
331,0,0,0,0,4,4,0,0,0,35,6,0,0,16
332,4,0,4,8,3,0,0,39,0,17,6,390,0,34
333,4,12,4,4,1,2,1,39,0,26,14,709,0,56
334,6,11,2,3,0,2,1,39,0,44,9,2064,0,51
335,4,9,2,4,0,4,1,39,1,45,13,15505,237,49
336,4,6,2,3,0,4,1,26,0,26,5,3674,0,46
337,4,15,2,4,0,4,1,39,0,50,10,267,143,56
338,4,11,2,7,5,2,0,39,0,42,9,0,1181,36
339,4,11,4,14,1,4,1,2,0,20,9,0,0,45
340,4,11,0,4,4,4,0,39,0,36,9,95,13,43
341,4,9,4,10,1,4,0,39,0,24,13,222,213,26
342,6,0,0,12,1,4,0,39,0,50,6,0,0,50
343,4,15,2,10,0,4,1,39,0,47,10,310,100,53
344,4,11,2,3,0,4,1,39,1,41,9,7181,490,53
345,6,11,4,3,4,4,1,39,0,23,9,0,0,41
346,5,9,2,5,0,4,1,39,1,54,13,3115,127,61
347,7,9,2,5,0,4,1,39,1,39,13,0,0,40
348,4,15,4,13,1,1,1,39,0,30,10,0,0,40
349,4,11,6,6,2,4,0,39,0,61,9,0,0,35
350,2,15,2,11,3,2,1,39,0,28,10,0,0,40
351,4,1,2,7,0,4,1,39,0,57,7,0,0,44
352,4,11,0,3,1,4,1,39,0,54,9,897,341,47
353,4,4,2,8,0,2,1,39,0,70,3,0,0,39
354,0,0,4,0,3,4,0,39,0,21,6,19618,0,17
355,6,5,2,12,0,4,1,39,0,63,4,0,0,75
356,4,0,4,12,4,4,0,39,0,21,6,0,0,35
357,7,12,0,10,4,4,0,39,0,46,14,381,318,40
358,4,15,2,1,5,4,0,39,1,52,10,9327,599,34
359,4,11,4,4,3,2,1,39,0,24,9,0,0,50
360,4,15,0,3,1,4,1,39,1,46,10,2777,0,45
361,0,12,2,0,5,4,0,39,1,66,14,2884,193,44
362,6,9,0,12,1,4,0,39,1,44,13,27828,0,60
363,0,1,2,0,0,4,1,39,0,67,7,362,1240,16
364,4,9,2,4,0,1,1,19,1,49,13,77491,0,43
365,2,1,2,14,0,4,1,39,0,63,7,0,0,28
366,0,11,0,0,4,4,0,39,0,48,9,0,0,44
367,4,15,0,8,3,4,1,39,0,35,10,105,0,17
368,4,11,4,3,3,4,1,39,0,20,9,83,463,36
369,4,10,2,12,0,4,1,39,1,46,16,0,0,46
370,4,15,4,3,1,4,1,39,0,40,10,1056,323,43
371,4,15,2,3,0,4,1,39,1,43,10,948,142,41
372,4,11,2,3,0,4,1,39,1,46,9,14260,1274,35
373,4,15,2,7,0,4,1,39,0,46,10,110,275,38
374,0,11,4,0,1,2,0,39,0,19,9,0,0,40
375,0,10,2,0,0,4,1,39,1,57,16,3285,160,26
376,0,15,2,0,5,2,0,39,0,44,10,1413,0,20
377,4,11,4,3,1,4,1,39,0,26,9,696,138,36
378,4,11,4,7,3,3,1,33,0,28,9,0,0,50
379,4,8,4,1,1,4,1,39,0,30,11,0,0,57
380,0,1,6,0,2,2,0,39,0,41,7,0,0,40
381,4,5,2,3,0,4,1,26,0,40,4,0,0,39
382,4,1,0,8,1,4,0,39,0,45,7,0,0,51
383,4,15,4,9,1,4,0,39,0,59,10,0,0,7
384,6,15,2,8,0,4,1,39,1,49,10,0,0,36
385,4,9,4,10,1,4,0,39,0,24,13,634,484,30
386,4,9,4,10,3,4,1,39,1,40,13,11802,0,51
387,2,14,4,10,1,4,1,39,1,43,15,7878,0,40
388,2,12,3,10,1,4,0,39,0,31,14,0,0,38
389,4,9,2,4,0,4,1,39,1,35,13,11848,1159,40
390,4,1,4,6,1,2,1,39,0,21,7,0,0,40
391,6,12,0,10,1,4,1,39,1,54,14,0,0,50
392,4,8,0,13,4,4,0,39,0,47,11,0,0,49
393,4,9,2,4,0,4,1,39,1,53,13,16995,379,51
394,6,15,2,5,0,4,1,39,0,33,10,1342,223,31
395,5,9,4,5,1,4,0,39,0,31,13,0,0,45
396,7,12,2,10,0,4,1,39,0,37,14,0,337,38
397,4,11,2,3,0,4,1,39,0,44,9,1638,657,35
398,4,11,2,4,0,4,1,39,1,45,9,3830,26,52
399,1,15,0,1,1,4,0,39,0,54,10,0,0,35
400,4,15,4,1,4,4,0,39,0,31,10,931,0,49
401,4,5,2,3,0,4,1,32,1,29,4,0,0,40
402,4,11,4,1,4,4,0,39,0,60,9,0,386,38
403,7,11,4,11,3,4,1,39,0,31,9,0,323,40
404,4,11,4,4,1,4,0,39,0,48,9,451,0,42
405,4,5,0,3,1,4,1,39,0,42,4,0,785,57
406,4,10,4,10,3,4,1,39,0,28,16,0,0,35
407,4,11,2,4,0,4,1,39,0,48,9,358,67,48
408,2,9,0,8,3,4,1,39,0,36,13,0,0,40
409,4,9,4,4,1,4,1,39,0,45,13,287,404,56
410,4,11,0,14,4,4,1,0,0,36,9,0,0,43
411,4,15,0,1,4,4,0,39,0,37,10,868,14,31
412,4,9,2,10,0,4,1,11,1,36,13,0,0,45
413,6,1,6,8,4,4,0,12,1,56,7,0,0,65
414,2,9,2,3,0,4,1,39,1,46,13,0,0,50
415,4,11,4,3,1,4,1,39,0,21,9,378,587,45
416,4,9,2,4,0,2,1,39,1,36,13,87,642,43
417,4,11,4,6,3,4,0,39,0,37,9,0,481,16
418,7,11,0,1,2,4,0,39,0,45,9,0,0,40
419,4,15,4,5,2,2,1,39,0,30,10,0,0,72
420,5,11,2,12,0,4,1,39,1,53,9,2263,865,43
421,4,15,2,3,0,4,1,39,1,44,10,7817,145,44
422,4,11,0,3,1,4,1,39,0,45,9,666,432,47
423,4,0,2,3,0,4,1,39,0,26,6,226,2,36
424,4,15,2,4,0,4,1,39,1,47,10,17004,602,45
425,2,12,5,10,3,2,0,39,0,59,14,0,0,35
426,4,11,2,1,5,4,0,39,1,49,9,4428,90,21
427,4,5,2,14,0,4,1,39,1,51,4,2202,0,54
428,2,11,2,1,5,4,0,39,0,60,9,0,0,45
429,7,11,0,1,1,4,1,39,0,34,9,0,0,40
430,4,15,4,8,3,4,0,39,0,24,10,424,89,7
431,4,6,2,8,0,4,1,39,0,52,5,640,0,34
432,4,8,4,8,1,4,1,39,0,33,11,0,0,30
433,4,14,2,10,0,4,1,39,1,47,15,5600,187,71
434,5,15,2,4,0,4,1,39,1,43,10,14891,399,47
435,4,11,2,12,5,4,0,39,0,53,9,2135,0,52
436,4,11,2,14,0,4,1,39,0,52,9,805,42,60
437,7,15,2,11,0,4,1,39,0,49,10,0,0,39
438,7,0,4,8,3,4,1,39,0,17,6,0,0,30
439,4,8,0,7,1,2,1,39,0,37,11,0,0,45
440,4,12,2,10,5,4,0,39,1,59,14,28076,701,35
441,2,1,4,10,3,4,0,33,0,17,7,0,0,20
442,4,12,4,10,1,4,0,39,1,43,14,3413,804,43
443,4,15,2,3,0,4,1,39,0,39,10,668,6,53
444,4,11,4,12,3,4,1,39,0,22,9,0,360,26
445,4,11,4,1,3,4,1,39,0,23,9,0,528,42
446,5,9,2,4,0,4,1,39,1,57,13,4257,1361,54
447,6,15,2,5,0,4,1,39,0,47,10,1857,241,45
448,4,15,4,3,1,4,1,39,0,21,10,604,114,42
449,4,9,4,10,3,4,0,39,0,31,13,0,303,21
450,4,11,5,14,3,4,0,39,0,28,9,0,0,17
451,4,0,2,7,0,4,1,39,0,47,6,300,0,47
452,4,9,4,8,3,4,1,39,0,25,13,0,0,22
453,4,11,4,13,1,4,0,39,0,28,9,26,0,43
454,4,12,2,4,0,4,1,39,1,51,14,6141,533,52
455,2,11,2,3,0,2,1,39,0,40,9,0,0,35
456,4,9,4,1,4,2,0,39,0,27,13,1990,0,33
457,0,15,4,0,3,3,0,39,0,19,10,454,0,33
458,4,11,2,12,0,4,1,39,0,19,9,1417,268,45
