a,b,c,d,e,f,g,h,i,j,k,l,m,n
36,2,9,13,2,10,0,4,1,0,0,40,39,1
22,4,4,3,4,9,1,4,1,0,0,50,13,0
17,4,0,6,4,7,1,4,1,0,0,40,39,0
20,4,11,9,4,3,3,4,1,0,0,40,39,0
65,4,12,14,2,10,0,4,1,0,0,50,39,1
44,5,8,11,2,12,0,4,1,0,0,45,39,1
36,4,11,9,2,5,0,4,1,0,0,40,39,0
29,4,1,7,2,8,0,4,1,0,0,40,39,0
20,7,15,10,4,5,3,4,1,0,0,32,39,0
28,4,8,11,2,10,5,4,0,0,0,36,39,1
39,4,5,4,2,3,0,4,1,0,0,40,26,0
54,4,15,10,2,14,0,4,1,3908,0,50,39,0
52,4,1,7,5,9,1,2,0,0,0,18,39,0
56,5,11,9,6,4,1,4,0,0,0,50,39,0
18,4,15,10,4,8,3,4,1,0,0,20,39,0
39,4,11,9,0,6,3,2,1,0,0,40,39,0
21,4,15,10,4,8,3,4,0,0,1721,24,39,0
22,4,11,9,4,8,1,4,1,14084,0,60,39,1
38,4,6,5,3,4,1,4,1,0,0,54,26,0
21,4,15,10,4,1,3,4,0,0,0,40,39,0
63,4,11,9,2,3,0,4,1,0,0,40,39,0
34,2,9,13,2,4,0,4,1,3103,0,50,39,1
42,5,11,9,2,4,0,4,1,5178,0,50,39,1
33,4,11,9,2,6,0,4,1,0,0,40,39,0
30,4,9,13,4,4,1,4,0,0,0,50,39,0
39,4,15,10,0,12,1,4,1,0,0,40,39,0
26,4,12,14,4,4,1,4,0,0,0,40,39,0
33,4,11,9,4,7,3,4,0,0,0,40,39,0
47,2,11,9,0,1,1,4,0,0,0,40,39,0
41,4,9,13,4,8,1,4,0,0,0,40,0,0
41,5,7,12,2,3,0,4,1,15024,0,60,39,1
19,4,15,10,4,8,3,4,1,0,0,20,39,0
46,4,11,9,5,14,1,4,1,0,0,40,39,0
43,4,11,9,2,12,0,4,1,0,0,48,39,0
55,4,15,10,2,4,0,4,1,15024,0,45,39,1
46,4,8,11,2,13,0,4,1,0,0,40,39,0
30,4,11,9,2,7,0,4,1,0,0,40,26,0
21,4,15,10,5,6,1,4,0,0,0,40,39,0
46,4,15,10,2,3,0,3,1,0,0,40,6,0
17,0,0,6,4,0,3,4,1,0,0,40,39,0
41,4,11,9,2,7,0,4,1,0,0,50,39,0
69,5,11,9,2,12,0,4,1,0,0,30,39,0
50,4,11,9,2,14,0,4,1,0,0,40,39,0
20,4,15,10,4,1,1,4,0,0,0,40,39,0
45,5,15,10,2,7,0,4,1,0,0,50,39,0
23,4,9,13,4,4,1,4,1,0,0,40,39,0
24,4,15,10,5,8,1,4,1,0,1876,40,39,0
44,5,11,9,2,3,0,4,1,99999,0,50,0,1
31,6,15,10,2,3,0,4,1,0,0,50,39,0
43,4,11,9,5,7,1,4,0,0,0,44,39,0
20,1,1,7,4,8,3,4,0,0,0,10,39,0
55,4,11,9,2,12,0,4,1,0,0,56,39,1
24,1,15,10,4,2,1,4,1,0,0,40,39,0
41,0,12,14,2,0,5,4,0,7688,0,10,39,1
59,4,9,13,4,4,1,4,0,0,0,25,39,0
49,1,5,4,4,8,1,2,1,0,0,20,39,0
33,4,12,14,2,10,5,4,0,5178,0,10,39,1
59,1,9,13,0,1,1,4,1,0,0,40,39,0
34,4,12,14,4,8,1,0,1,0,0,40,39,0
20,4,11,9,4,6,3,4,1,0,0,40,39,0
25,4,9,13,4,4,3,4,0,0,0,40,39,0
49,4,0,6,2,5,0,4,1,0,0,40,39,0
59,4,11,9,2,14,0,4,1,0,0,40,39,1
20,4,11,9,4,1,1,4,0,0,0,40,39,0
51,0,15,10,2,0,5,4,0,0,0,18,39,0
33,4,15,10,4,1,4,2,0,0,0,35,39,0
22,4,15,10,4,14,3,2,1,0,0,39,39,0
58,6,6,5,6,8,1,4,0,0,0,40,39,0
52,2,11,9,6,1,4,4,0,0,0,28,39,0
36,4,0,6,5,7,1,4,0,0,0,40,39,0
41,2,11,9,2,11,0,4,1,0,0,40,39,0
28,4,11,9,4,14,3,4,1,2597,0,40,39,0
19,4,15,10,4,6,3,2,1,0,0,16,39,0
18,4,11,9,4,8,1,4,0,0,0,28,39,0
18,4,11,9,4,7,3,4,0,0,0,48,39,0
28,4,15,10,2,3,0,4,1,0,0,40,39,0
29,4,8,11,2,4,0,4,1,0,0,40,39,1
20,0,11,9,4,0,3,4,0,0,0,20,39,0
40,4,15,10,2,6,0,4,1,0,0,40,39,0
26,4,11,9,4,6,4,4,1,0,0,40,39,0
46,4,11,9,2,3,0,4,1,0,0,40,39,0
23,4,1,7,4,8,1,4,0,0,0,24,39,0
44,4,11,9,3,1,4,4,0,0,0,40,39,0
43,4,9,13,0,12,4,4,0,0,0,40,39,1
31,2,9,13,0,10,4,4,0,0,0,60,39,0
18,4,15,10,4,12,3,4,0,0,0,25,39,0
19,4,15,10,4,11,3,4,1,0,0,30,39,0
41,4,15,10,0,13,1,4,0,0,0,40,39,0
41,4,11,9,0,6,4,4,0,0,0,40,39,0
69,4,11,9,0,1,1,4,0,0,0,25,39,0
48,1,10,16,2,10,5,4,0,0,0,40,39,1
28,4,11,9,4,10,3,4,1,0,0,40,39,0
27,6,11,9,2,3,0,4,1,0,0,60,21,1
41,4,12,14,2,10,0,4,1,0,2415,50,39,1
41,4,15,10,2,1,0,4,1,0,0,40,39,0
24,4,11,9,4,3,4,2,0,0,0,40,39,0
20,0,11,9,4,0,1,4,0,0,0,40,39,0
42,5,10,16,2,10,0,4,1,0,0,41,39,1
57,4,11,9,2,3,0,2,1,0,0,48,39,0
30,4,7,12,4,10,1,4,0,0,0,40,39,0
36,4,11,9,2,12,0,4,1,0,0,60,39,1
49,4,5,4,2,7,0,2,1,0,0,40,39,0
33,4,11,9,2,7,5,4,0,0,0,35,39,0
23,4,0,6,2,5,0,4,1,0,0,40,39,0
46,4,12,14,2,10,0,4,1,0,0,40,39,0
18,4,15,10,4,1,3,1,0,0,0,22,11,0
40,4,11,9,2,4,0,4,1,7688,0,55,39,1
43,5,11,9,2,4,0,4,1,0,1887,45,39,1
34,4,12,14,4,10,3,4,0,0,0,30,39,0
47,6,11,9,6,4,1,4,0,0,0,30,39,0
44,4,8,11,6,4,4,4,0,0,0,30,39,0
33,4,11,9,2,12,0,4,1,0,0,40,39,1
55,4,9,13,2,4,0,4,1,15024,0,50,39,1
19,4,11,9,4,12,1,4,1,2907,0,30,39,0
28,4,15,10,4,8,1,2,1,0,0,14,39,0
27,4,1,7,2,8,5,2,0,0,0,32,39,0
50,4,5,4,2,7,0,4,1,0,0,20,39,0
22,4,1,7,4,3,4,4,1,0,0,40,39,0
40,7,9,13,2,1,0,4,1,0,1887,45,39,1
25,4,15,10,4,1,3,4,0,0,0,40,39,0
26,2,11,9,4,3,1,4,1,0,0,40,39,0
22,4,9,13,4,12,1,4,1,0,0,25,39,0
42,4,15,10,4,6,4,2,0,0,625,40,39,0
38,5,9,13,0,4,1,4,1,0,0,40,39,0
55,4,1,7,2,8,0,4,1,0,0,30,39,0
32,4,11,9,2,12,0,4,1,0,0,40,39,0
22,4,11,9,2,3,0,4,1,0,0,45,39,0
29,4,9,13,4,12,3,4,1,0,0,40,39,0
46,7,12,14,2,4,0,4,1,0,0,45,39,1
31,4,15,10,2,4,0,4,1,0,0,40,39,1
58,6,10,16,2,10,0,4,1,0,0,16,39,1
42,4,11,9,2,3,0,4,1,0,0,45,39,0
18,4,11,9,4,6,4,4,1,0,0,25,39,0
58,2,11,9,0,4,1,4,1,0,0,33,39,0
54,4,11,9,2,10,0,4,1,0,1887,40,39,1
34,4,12,14,4,10,1,4,1,0,0,40,39,0
26,4,9,13,4,1,1,4,0,0,0,40,39,0
61,4,2,8,2,4,0,4,1,0,0,60,39,0
48,2,12,14,5,1,4,2,0,0,0,40,39,0
36,4,15,10,2,4,0,4,1,0,0,45,39,1
24,4,8,11,2,7,0,4,1,0,0,45,39,0
40,4,15,10,2,7,0,4,1,0,0,37,39,0
33,5,11,9,2,12,0,4,1,0,0,50,39,1
37,4,15,10,2,7,0,4,1,0,1887,40,39,1
34,4,12,14,4,4,3,4,1,4650,0,40,39,0
56,5,15,10,2,4,0,4,1,15024,0,40,39,1
28,0,11,9,2,0,3,4,0,0,0,38,39,1
37,4,9,13,6,4,1,4,0,0,0,55,39,0
44,4,11,9,0,12,4,2,0,0,0,40,39,0
64,0,15,10,2,0,0,4,1,0,0,8,39,0
54,4,11,9,0,6,1,4,1,0,0,45,39,0
23,4,11,9,4,7,1,4,1,0,0,50,39,0
34,7,9,13,3,5,1,2,1,0,0,40,0,0
22,4,11,9,4,8,1,4,0,0,0,45,39,0
33,4,9,13,2,4,0,4,1,0,1977,40,39,1
39,4,9,13,5,10,1,4,1,0,0,50,39,1
47,4,15,10,0,1,1,2,0,0,0,37,39,0
79,0,5,4,6,0,1,4,1,0,0,40,39,0
26,4,11,9,4,10,4,2,0,0,0,55,39,0
31,4,15,10,0,4,4,4,0,0,0,40,39,0
44,4,15,10,4,14,1,4,1,0,0,45,39,0
42,5,14,15,2,10,5,4,0,0,0,50,39,1
19,4,11,9,4,7,1,4,0,0,0,40,39,0
27,4,11,9,2,6,0,4,1,0,0,40,39,1
51,2,15,10,2,11,0,4,1,0,0,40,39,1
28,5,9,13,2,4,0,4,1,0,0,50,39,0
57,4,9,13,0,3,1,4,1,0,0,45,39,0
45,2,9,13,0,10,4,4,0,0,0,40,39,0
50,4,8,11,2,10,0,4,1,0,0,40,39,1
34,5,9,13,2,12,0,4,1,0,0,54,39,0
45,4,5,4,2,3,0,2,1,0,0,40,39,0
73,2,11,9,2,4,0,4,1,0,0,20,39,0
34,4,9,13,2,10,5,4,0,0,0,50,39,1
31,4,15,10,2,12,0,4,1,0,0,55,39,1
19,4,1,7,4,12,1,4,1,0,0,12,39,0
25,4,15,10,4,8,3,4,0,0,0,50,39,0
38,1,8,11,0,3,4,4,0,6497,0,40,39,0
39,4,9,13,2,14,0,4,1,0,0,40,39,0
23,4,9,13,4,13,3,2,0,0,0,32,39,0
49,4,11,9,2,7,0,4,1,0,0,40,39,0
33,1,11,9,4,8,1,4,1,0,0,32,39,0
21,4,4,3,4,7,2,4,1,0,0,38,26,0
31,4,8,11,5,3,1,4,1,0,0,40,39,0
23,4,9,13,4,4,1,4,0,0,0,45,39,0
34,4,9,13,2,1,0,1,1,0,0,40,30,0
25,4,11,9,4,7,1,1,0,0,0,40,30,0
39,4,11,9,4,3,4,4,1,0,0,40,39,0
52,5,11,9,2,12,0,4,1,0,0,40,39,1
63,2,6,5,2,14,0,4,1,7688,0,40,39,1
41,4,15,10,2,3,0,4,1,0,0,40,39,0
46,4,9,13,2,10,0,4,1,15024,0,38,39,1
53,2,11,9,2,4,0,4,1,0,0,40,39,0
25,0,6,5,5,0,1,4,0,1055,0,40,39,0
77,0,15,10,2,0,0,4,1,0,0,35,39,0
18,4,2,8,4,9,3,4,1,0,0,40,39,0
38,4,14,15,2,10,0,4,1,0,0,50,39,0
55,4,12,14,4,4,4,1,0,0,0,50,37,0
34,4,11,9,2,13,0,4,1,0,0,40,39,1
80,6,11,9,2,8,0,4,1,0,0,30,39,0
34,4,8,11,0,13,4,4,0,0,0,60,39,0
52,4,15,10,2,13,0,4,1,5013,0,40,39,0
42,4,11,9,4,8,4,2,0,0,0,28,14,0
26,4,15,10,4,12,1,4,0,0,0,40,39,0
31,4,11,9,2,14,0,4,1,0,0,40,39,0
25,2,11,9,4,8,3,4,0,0,0,35,39,0
55,6,11,9,2,3,0,4,1,0,2057,60,39,0
19,4,15,10,4,8,3,4,0,0,0,12,39,0
62,6,15,10,2,14,0,4,1,0,0,32,39,0
22,1,15,10,4,1,3,4,0,0,0,20,39,0
39,0,11,9,2,0,5,4,0,0,0,50,39,0
35,4,11,9,2,6,0,4,1,0,0,40,39,0
28,4,11,9,2,12,3,4,0,0,0,40,39,0
47,4,11,9,2,14,0,4,1,0,0,70,39,1
44,7,11,9,2,7,0,4,1,0,0,40,39,0
21,4,15,10,4,12,3,4,1,0,0,15,39,0
35,4,8,11,4,3,1,4,1,0,0,50,39,0
24,4,9,13,2,10,0,4,1,0,0,40,39,1
42,1,9,13,4,10,1,4,1,0,0,40,0,0
28,4,9,13,4,13,3,4,1,0,0,50,39,0
21,4,15,10,4,7,2,4,1,0,0,35,39,0
62,1,15,10,0,13,1,2,1,4650,0,40,39,0
39,4,11,9,4,8,1,2,0,0,0,40,39,0
30,7,11,9,4,8,1,4,1,0,0,40,39,0
72,6,14,15,4,10,1,4,1,0,1429,20,39,0
50,4,15,10,2,4,5,4,0,0,0,50,39,0
28,2,12,14,4,10,1,4,1,0,0,40,39,0
29,4,15,10,4,10,1,4,0,0,0,40,39,0
26,4,9,13,4,1,3,4,0,0,0,40,39,0
27,4,12,14,4,4,1,4,0,0,0,40,39,0
29,4,15,10,2,6,0,4,1,3103,0,40,39,1
61,0,11,9,2,0,0,4,1,0,0,40,39,0
29,4,0,6,2,3,0,4,1,0,0,25,39,0
21,0,15,10,4,0,3,4,0,0,0,30,39,0
31,4,1,7,2,12,5,4,0,0,0,20,39,0
25,4,11,9,2,4,0,4,1,0,0,75,39,0
58,4,0,6,2,14,0,4,1,0,0,40,39,1
64,4,15,10,2,4,5,4,0,0,0,40,39,1
46,7,12,14,4,4,1,4,1,0,0,38,39,0
53,0,11,9,2,0,0,4,1,0,0,35,39,1
19,4,11,9,4,8,3,0,0,0,0,35,39,0
42,4,11,9,0,8,1,2,1,0,0,52,39,0
18,4,1,7,4,6,3,4,1,0,0,24,39,0
58,5,9,13,2,3,0,4,1,15024,0,50,39,1
20,4,15,10,4,11,1,2,1,0,0,60,39,0
35,1,11,9,2,3,0,4,1,0,0,40,39,1
32,4,11,9,2,6,0,4,1,0,0,38,39,1
23,4,11,9,4,6,1,4,0,0,0,25,39,0
31,4,15,10,0,13,4,4,0,0,0,40,39,0
33,4,9,13,2,12,0,2,1,0,0,55,39,0
41,4,15,10,4,7,1,4,0,0,0,48,39,0
22,4,11,9,4,7,3,2,1,0,0,40,39,0
46,4,15,10,2,11,0,4,1,0,0,40,39,1
61,1,15,10,2,14,0,2,1,0,0,40,39,0
30,4,11,9,4,4,1,2,1,0,0,40,39,0
42,4,11,9,2,4,0,4,1,0,0,55,39,1
63,4,0,6,2,6,0,4,1,0,0,40,39,0
26,4,15,10,2,12,0,4,1,0,0,40,39,0
42,4,0,6,0,1,4,4,0,0,0,40,39,0
23,4,15,10,2,8,0,4,1,0,0,40,39,0
25,4,11,9,4,7,4,4,1,0,1590,40,39,0
30,4,6,5,2,8,0,4,1,0,0,32,8,1
23,4,11,9,4,12,3,4,1,0,0,40,39,0
34,6,8,11,4,5,1,4,1,27828,0,60,39,1
30,4,11,9,2,7,2,4,1,0,2057,48,39,0
39,4,15,10,2,3,0,4,1,0,0,40,39,1
30,4,1,7,4,6,2,4,1,0,1721,38,33,0
38,2,15,10,0,1,4,4,0,0,0,38,39,0
26,4,11,9,0,4,3,4,0,0,0,40,39,0
20,4,15,10,4,6,3,4,1,0,0,16,39,0
37,2,9,13,4,10,4,2,1,0,0,40,0,0
33,4,11,9,2,1,3,4,0,0,0,40,39,0
24,4,9,13,4,1,3,4,1,0,0,40,39,0
42,5,9,13,2,4,0,4,1,0,0,60,39,1
51,6,11,9,2,12,0,1,1,3103,0,84,40,0
56,2,7,12,2,13,0,4,1,0,0,45,39,1
22,4,15,10,4,6,3,4,1,0,0,40,39,0
52,6,15,10,2,5,0,4,1,0,0,60,39,0
44,4,9,13,0,4,4,4,0,4934,0,45,39,1
34,4,11,9,2,1,5,4,0,4064,0,35,39,0
51,4,15,10,0,3,1,4,1,0,0,42,39,1
20,0,15,10,4,0,1,4,1,0,0,40,39,0
19,4,15,10,4,12,1,4,0,0,0,25,39,0
37,4,9,13,2,4,0,4,1,0,0,40,39,1
68,4,11,9,2,7,0,2,1,0,0,40,39,1
22,4,15,10,0,11,1,4,1,0,0,40,39,0
56,5,9,13,2,4,0,4,1,0,0,40,39,0
37,4,11,9,2,3,0,4,1,0,0,40,39,0
52,4,3,2,2,7,0,4,1,0,0,40,26,0
26,4,11,9,5,6,3,4,1,0,0,40,33,0
33,4,12,14,2,10,0,4,1,0,0,50,39,0
45,2,12,14,0,10,4,4,0,0,0,42,39,0
18,4,1,7,4,8,3,4,1,0,0,15,39,0
43,6,15,10,2,5,0,4,1,0,0,60,39,1
64,6,10,16,2,10,0,4,1,15024,0,50,0,1
18,4,11,9,4,6,3,4,1,0,0,20,39,0
20,0,15,10,4,0,3,4,1,0,0,45,39,0
57,4,11,9,2,3,0,4,1,0,0,40,39,1
41,4,11,9,0,1,4,4,0,3674,0,42,39,0
34,4,12,14,2,4,0,4,1,0,1887,50,39,1
19,4,11,9,4,12,4,4,0,0,0,40,39,0
44,4,6,5,0,8,4,4,0,0,0,55,6,0
56,4,0,6,6,8,4,4,0,0,0,40,39,0
36,5,11,9,2,5,0,4,1,0,0,80,39,0
48,4,9,13,0,4,4,4,0,0,0,48,39,0
29,4,11,9,2,14,0,4,1,0,0,40,39,1
33,4,9,13,4,3,1,4,1,2174,0,40,39,0
31,4,4,3,2,8,0,4,1,0,0,40,26,0
39,4,12,14,2,10,0,4,1,0,0,45,39,1
66,4,11,9,2,4,0,4,1,10605,0,40,39,1
27,4,9,13,4,10,1,4,0,0,0,50,39,1
39,4,11,9,0,4,4,2,0,99999,0,40,39,1
59,4,5,4,2,3,0,4,1,5178,0,50,39,1
26,4,11,9,4,8,3,4,0,0,0,40,39,0
31,4,8,11,0,3,4,4,1,0,0,40,39,0
45,0,11,9,6,0,4,4,0,0,0,40,26,0
23,4,11,9,4,6,3,4,1,0,0,30,39,0
36,2,11,9,0,1,4,4,0,0,0,40,39,0
34,4,15,10,2,8,5,4,0,0,0,12,39,1
32,4,11,9,2,14,0,4,1,0,0,84,39,1
37,4,9,13,2,10,0,2,1,0,0,50,39,1
33,4,9,13,4,12,1,4,1,0,0,45,39,0
50,6,14,15,2,10,0,4,1,99999,0,80,39,1
32,1,7,12,4,11,1,2,1,0,0,40,39,0
35,4,9,13,4,1,3,2,0,0,0,40,39,0
37,4,1,7,2,3,0,4,1,0,0,40,39,0
44,4,15,10,0,3,1,4,1,0,0,60,39,0
57,4,15,10,0,6,2,4,1,0,0,25,39,0
29,2,15,10,2,4,3,4,0,0,0,40,39,0
55,4,11,9,2,3,0,4,1,0,0,50,39,1
43,5,14,15,2,10,0,4,1,0,0,25,39,1
43,4,15,10,2,12,0,4,1,0,0,70,39,0
45,6,15,10,2,12,0,4,1,0,0,60,39,1
33,6,12,14,2,10,5,4,0,0,0,8,39,0
26,4,0,6,0,8,4,4,0,0,0,40,11,0
23,4,15,10,2,12,0,4,1,0,0,68,39,0
41,4,5,4,5,3,1,4,1,0,0,40,26,0
24,4,11,9,2,3,0,4,1,0,0,40,39,0
47,6,9,13,2,12,0,4,1,0,0,44,39,0
34,6,11,9,4,3,3,4,1,0,0,45,39,0
40,4,11,9,2,4,0,4,1,0,0,40,39,1
28,4,9,13,2,10,5,1,0,0,1485,40,39,0
24,4,11,9,4,4,3,1,0,0,0,40,35,0
73,0,15,10,2,0,0,4,1,0,0,10,39,0
23,4,11,9,4,3,2,4,1,0,0,15,39,0
43,6,11,9,2,4,0,2,1,0,0,40,39,1
26,4,9,13,0,13,1,4,0,0,0,40,39,0
58,6,10,16,1,4,5,4,0,0,1485,35,39,1
52,4,11,9,6,1,4,2,0,0,0,35,39,0
29,4,1,7,2,14,0,4,1,0,0,99,39,1
47,4,1,7,2,8,0,4,1,0,0,35,4,0
49,4,11,9,0,1,4,2,0,0,0,37,39,0
40,4,1,7,6,1,4,4,0,0,0,40,39,0
62,6,11,9,2,1,5,4,0,0,0,40,39,0
49,4,11,9,2,4,0,4,1,0,1977,55,39,1
50,4,9,13,0,10,2,4,0,0,0,50,39,1
31,4,11,9,4,14,3,2,1,0,0,40,39,0
48,2,12,14,4,10,1,4,0,0,0,50,39,0
24,4,11,9,4,3,4,4,0,0,0,40,39,0
41,0,11,9,4,0,3,4,0,3418,0,40,39,0
37,4,11,9,5,7,3,1,1,0,0,60,39,0
45,4,9,13,2,4,0,1,1,0,0,45,24,1
63,0,11,9,2,0,0,4,1,0,0,16,39,0
36,4,12,14,2,4,0,1,1,0,0,45,19,0
45,4,9,13,2,4,0,4,1,0,0,40,39,0
41,4,9,13,4,12,1,4,0,0,0,40,39,0
26,4,7,12,4,13,2,4,0,0,0,20,39,0
17,4,1,7,4,12,3,4,0,0,0,25,39,0
27,4,11,9,2,8,0,4,1,0,0,36,0,0
43,4,11,9,2,7,0,4,1,0,0,65,39,0
35,4,11,9,4,14,3,4,1,0,0,55,39,0
38,4,9,13,0,1,4,4,0,0,0,40,39,0
26,4,11,9,4,7,1,4,1,0,0,40,39,0
28,4,15,10,4,4,3,4,0,0,0,40,39,0
38,4,9,13,2,10,5,4,0,0,0,24,39,1
36,4,1,7,0,14,4,4,0,0,0,40,39,0
33,4,11,9,2,1,5,4,0,0,0,40,39,1
19,4,11,9,4,6,3,4,1,1055,0,70,39,0
22,0,7,12,4,0,3,4,1,0,0,25,39,0
42,1,0,6,2,1,0,4,1,0,0,40,26,0
50,4,0,6,2,14,0,4,1,0,0,40,39,1
30,4,11,9,2,6,0,4,1,0,0,30,39,0
37,7,15,10,2,10,2,1,1,0,0,40,1,0
54,5,14,15,2,10,0,4,1,99999,0,40,39,1
52,5,9,13,4,4,1,4,1,0,0,40,39,0
65,4,3,2,2,6,0,3,1,0,0,40,0,0
33,4,11,9,0,3,1,4,0,0,0,40,39,0
25,4,15,10,4,13,2,4,1,0,0,40,39,0
24,4,9,13,4,12,1,4,1,0,0,45,39,0
26,4,8,11,5,1,4,2,0,114,0,40,39,0
39,4,11,9,5,1,1,4,1,0,0,40,39,1
59,4,11,9,0,8,1,4,0,0,0,40,39,0
29,4,15,10,4,1,4,4,0,0,0,40,39,0
47,4,1,7,4,8,3,4,0,0,0,45,39,0
23,0,15,10,4,0,3,4,0,0,0,35,39,0
64,5,11,9,2,14,0,4,1,0,0,50,39,0
21,4,11,9,4,8,3,3,1,0,0,20,39,0
32,4,15,10,2,1,5,2,0,0,0,40,39,1
26,4,11,9,4,4,1,2,0,0,0,37,39,0
19,0,15,10,4,0,3,2,0,0,0,20,39,0
62,6,12,14,2,10,0,4,1,0,0,40,39,0
32,4,9,13,2,3,0,4,1,0,0,55,39,1
75,0,0,6,3,0,1,4,0,0,0,5,39,0
45,6,11,9,2,4,0,4,1,0,0,60,39,0
31,4,9,13,2,4,0,4,1,0,1887,50,39,1
32,4,11,9,2,1,0,4,1,2580,0,40,39,0
24,4,9,13,2,12,0,4,1,0,0,40,39,0
25,4,9,13,4,12,3,4,0,0,0,40,39,0
41,6,11,9,2,4,0,4,1,0,0,60,39,0
18,4,15,10,4,12,3,4,0,0,0,20,39,0
44,4,10,16,2,10,0,4,1,0,0,55,39,1
40,4,15,10,2,4,0,4,1,3411,0,50,39,0
27,4,9,13,4,10,1,4,1,0,0,40,39,0
23,4,9,13,4,1,3,4,1,0,0,40,39,0
21,4,15,10,4,1,1,3,1,2174,0,40,39,0
37,7,11,9,2,14,0,4,1,0,0,40,39,0
65,6,11,9,2,5,0,4,1,0,0,48,39,0
43,1,12,14,2,10,0,4,1,0,0,40,39,1
45,4,11,9,4,1,1,4,1,0,0,44,39,0
24,7,9,13,4,4,1,4,0,0,0,40,39,0
24,4,15,10,4,7,1,4,1,0,0,42,39,0
19,2,15,10,4,11,3,4,1,0,1721,35,39,0
37,4,9,13,2,10,0,4,1,0,0,65,39,1
24,4,11,9,4,1,3,4,0,0,0,35,39,0
34,4,15,10,2,7,0,4,1,0,0,40,11,0
50,7,11,9,2,8,5,4,0,0,0,39,39,0
36,4,11,9,2,3,0,4,1,0,0,40,33,0
39,4,9,13,2,12,0,4,1,0,0,60,39,0
44,6,5,4,2,3,0,4,1,0,0,38,39,0
45,7,11,9,2,8,0,4,1,0,0,40,39,0
32,7,1,7,4,11,3,4,1,0,0,40,39,0
47,1,12,14,2,4,0,2,1,0,0,40,39,1
50,4,11,9,2,7,0,4,1,0,0,40,39,0
32,4,8,11,2,8,0,4,1,0,0,40,39,0
19,4,11,9,4,6,3,4,1,0,0,40,39,0
19,0,15,10,4,0,3,4,0,0,0,20,39,0
28,7,12,14,0,10,1,4,1,0,0,10,0,0
28,4,11,9,0,12,2,4,1,0,0,50,39,0
39,1,12,14,4,10,1,4,1,0,0,40,31,1
21,4,15,10,4,8,1,4,1,2907,0,40,39,0
73,6,15,10,6,5,1,4,0,0,0,75,39,0
39,4,5,4,2,8,0,4,1,4508,0,40,26,0
25,4,15,10,4,7,1,4,1,0,0,40,39,0
31,4,15,10,1,12,5,4,0,0,0,20,39,0
51,4,15,10,0,12,1,4,0,0,0,32,39,0
39,4,9,13,2,1,5,4,0,0,0,28,39,0
31,4,9,13,0,6,3,4,1,0,0,40,39,0
21,4,15,10,4,12,3,2,1,0,0,17,39,0
46,4,9,13,0,4,1,4,1,27828,0,50,39,1
73,4,11,9,0,4,1,4,0,0,0,35,39,0
41,4,11,9,0,3,1,4,1,0,0,40,39,0
20,4,11,9,4,14,3,4,1,0,0,40,39,0
27,4,7,12,4,8,1,4,1,0,0,30,39,0
24,4,9,13,4,10,1,4,1,0,0,35,39,0
20,4,15,10,2,3,0,4,1,0,0,40,39,0
39,4,8,11,4,7,3,4,1,0,0,40,39,0
27,4,9,13,4,6,1,4,1,0,0,28,39,0
33,4,1,7,2,12,0,4,1,0,0,60,39,0
33,4,11,9,2,6,0,0,1,0,0,40,39,0
36,7,6,5,2,3,0,2,1,0,0,40,39,0
