,b,c,e,f,g,h,i,m,n,a,d,j,k,l
172,1,7,2,1,0,4,1,39,0,47.62,12.0,0.0,0.0,46.32
173,4,11,2,14,0,4,1,39,1,41.43,9.0,7766.21,974.92,36.96
174,6,15,0,4,1,0,0,39,0,49.0,10.0,0.0,0.0,40.0
175,4,15,2,7,0,4,1,39,0,39.54,10.0,1172.9,545.57,42.7
176,4,10,2,10,0,4,1,39,0,42.15,16.0,0.0,1237.68,52.15
177,4,11,2,8,0,4,1,39,0,43.73,9.0,948.61,80.82,45.89
178,4,7,4,4,1,4,1,39,1,61.5,12.0,5821.97,0.0,53.61
179,5,8,2,12,0,4,1,39,1,41.0,11.0,0.0,0.0,54.54
180,5,9,0,12,1,4,0,39,0,42.71,13.0,0.0,0.0,52.69
181,0,11,0,0,1,4,0,39,0,53.75,9.0,287.21,10.85,54.6
182,4,9,2,4,0,4,1,2,1,45.85,13.0,0.0,0.0,48.2
183,4,11,4,6,3,2,1,39,0,24.95,9.0,0.0,0.0,34.5
184,4,11,2,4,0,4,1,39,1,63.25,9.0,9180.48,636.57,48.32
185,2,15,4,10,1,4,0,39,0,23.11,10.0,0.0,1219.97,34.47
186,4,15,4,1,3,4,1,39,0,26.12,10.0,202.45,542.87,19.05
187,6,15,2,3,0,4,1,39,0,39.04,10.0,736.6,359.42,24.56
188,4,14,2,10,0,4,1,39,1,43.81,15.0,66711.17,548.95,68.19
189,2,12,4,10,3,4,0,39,0,37.68,14.0,0.0,0.0,39.8
190,4,2,0,7,3,4,1,39,0,33.0,8.0,0.0,0.0,40.0
191,4,11,0,14,1,4,1,39,1,37.59,9.0,5130.24,225.85,47.12
192,7,9,2,1,0,4,1,39,1,41.22,13.0,7353.52,532.96,46.89
193,4,11,2,6,0,4,1,39,0,33.98,9.0,1401.94,29.21,39.82
194,6,11,2,5,0,4,1,39,0,45.74,9.0,253.46,500.49,38.55
195,5,15,2,5,0,4,1,39,0,50.43,10.0,0.0,0.0,58.35
196,4,11,2,8,5,4,0,39,0,44.06,9.0,1323.8,933.61,39.42
197,4,15,5,4,1,4,1,2,0,42.0,10.0,0.0,0.0,60.0
198,4,11,4,6,1,4,1,39,0,34.05,9.0,447.62,17.89,34.74
199,4,11,4,3,3,4,1,39,0,33.72,9.0,855.95,179.31,51.48
200,4,9,2,3,0,2,1,39,1,51.71,13.0,5433.83,0.0,45.58
201,4,11,4,1,1,4,1,39,0,21.62,9.0,1126.04,0.0,54.95
202,2,15,6,1,4,4,0,26,0,54.28,10.0,0.0,0.0,40.0
203,4,15,4,12,4,4,0,39,0,30.78,10.0,0.0,0.0,29.61
204,4,15,4,1,3,1,1,39,0,21.67,10.0,0.0,0.0,20.0
205,4,15,4,10,3,4,1,39,0,22.66,10.0,0.0,0.0,23.69
206,6,11,0,3,3,4,1,39,0,33.46,9.0,0.0,0.0,44.11
207,6,15,2,12,0,4,1,39,1,47.95,10.0,59496.56,544.94,65.11
208,4,11,2,14,0,4,1,39,0,51.12,9.0,296.53,326.44,47.13
209,0,5,6,0,1,4,1,39,0,83.03,4.0,0.0,0.0,11.59
210,4,9,4,10,1,4,1,39,0,33.45,13.0,1192.41,126.97,50.73
211,4,15,2,8,0,4,1,39,0,37.87,10.0,0.0,88.11,50.15
212,4,11,0,12,4,4,1,39,0,46.26,9.0,321.58,0.0,36.0
213,6,15,2,5,0,4,1,39,1,36.73,10.0,3486.68,1029.39,60.65
214,4,11,4,3,1,4,1,39,0,31.6,9.0,48.11,341.87,42.17
215,4,9,2,12,0,4,1,39,1,44.86,13.0,5808.91,610.32,45.67
216,5,12,4,14,3,4,1,39,0,27.0,14.0,0.0,0.0,40.0
217,4,11,4,3,1,3,1,39,0,32.0,9.0,0.0,0.0,40.0
218,6,1,0,8,1,4,0,39,1,66.0,7.0,0.0,0.0,40.0
219,4,11,0,8,2,1,0,35,0,30.0,9.0,0.0,0.0,40.0
220,4,11,2,7,0,4,1,39,0,33.11,9.0,393.98,250.69,44.47
221,4,9,0,12,1,4,1,39,0,56.62,13.0,0.0,41.49,45.25
222,5,15,2,4,0,4,1,39,0,55.86,10.0,0.0,397.77,58.88
223,4,11,2,12,0,4,1,39,0,38.69,9.0,1468.21,528.25,53.67
224,7,11,4,1,1,4,0,39,0,28.72,9.0,0.0,0.0,39.94
225,7,14,2,10,0,4,1,39,1,52.79,15.0,5354.64,794.23,48.29
226,4,15,4,4,1,4,0,39,0,25.45,10.0,110.71,184.18,38.91
227,4,11,2,3,0,4,1,39,1,39.97,9.0,123.45,1056.68,58.02
228,5,14,2,10,0,4,1,39,1,61.79,15.0,52756.81,2.02,50.98
229,4,8,0,3,1,4,1,39,0,32.94,11.0,3244.42,206.1,41.67
230,4,14,2,10,0,4,1,39,1,43.4,15.0,13400.39,286.85,50.43
231,7,11,0,1,1,4,0,39,0,50.97,9.0,0.0,571.17,37.03
232,4,12,2,4,0,4,1,39,1,43.25,14.0,6348.85,1006.34,63.29
233,4,11,4,3,1,4,1,39,0,39.71,9.0,45.6,183.45,53.6
234,2,15,4,3,1,4,1,39,0,32.65,10.0,0.0,618.49,29.41
235,4,8,4,12,4,4,0,39,0,24.48,11.0,0.0,0.0,58.47
236,4,14,4,10,2,4,0,39,0,35.99,15.0,0.0,0.0,63.4
237,2,15,2,10,0,4,1,39,1,54.83,10.0,4592.13,842.05,46.82
238,6,11,6,3,1,4,1,39,0,57.35,9.0,1175.76,214.68,38.38
239,4,15,4,8,1,4,1,39,0,25.34,10.0,176.93,312.54,23.06
240,4,7,2,13,0,4,1,39,1,41.1,12.0,749.34,234.39,55.65
241,4,11,2,14,0,4,1,39,0,40.33,9.0,1328.19,108.68,63.02
242,2,15,0,1,4,4,0,39,0,30.21,10.0,0.0,0.0,49.91
243,4,11,4,4,1,4,0,39,0,23.98,9.0,33.3,0.0,41.35
244,4,15,2,3,0,4,1,39,0,31.01,10.0,1173.82,358.65,36.08
245,6,11,2,4,0,4,1,39,0,62.12,9.0,253.04,0.0,46.36
246,6,9,2,3,0,4,1,11,0,66.0,13.0,2290.0,0.0,40.0
247,4,8,4,1,1,2,1,39,0,31.0,11.0,0.0,0.0,45.0
248,4,15,4,6,3,4,1,39,0,26.54,10.0,0.0,6.44,26.66
249,0,12,2,0,5,4,0,39,0,61.78,14.0,0.0,0.0,10.31
250,2,12,0,10,1,4,0,39,0,45.48,14.0,461.19,246.93,35.02
251,6,11,2,3,0,4,1,39,1,48.43,9.0,5144.0,92.93,51.8
252,4,11,2,3,0,4,1,39,1,46.0,9.0,15018.25,143.08,49.52
253,4,12,2,4,0,4,1,39,1,40.4,14.0,22891.27,574.92,63.47
254,4,11,2,14,0,2,1,39,0,43.43,9.0,420.69,274.88,41.21
255,4,15,0,4,4,4,0,39,0,38.5,10.0,3193.15,38.15,27.28
256,6,8,2,5,0,4,1,39,1,38.96,11.0,1171.87,0.0,58.3
257,4,5,5,14,1,4,1,39,0,30.0,4.0,0.0,0.0,35.0
258,4,6,4,7,4,2,0,39,0,57.78,5.0,0.0,227.05,40.0
259,6,11,2,14,0,4,1,39,0,39.24,9.0,778.73,404.72,48.71
260,4,15,5,1,4,4,0,39,0,37.75,10.0,0.0,0.0,36.52
261,4,11,2,3,0,4,1,39,0,54.57,9.0,2227.47,114.09,55.81
262,4,11,2,6,0,4,1,39,0,54.77,9.0,1352.8,232.23,22.82
263,4,12,4,10,1,4,1,39,0,49.23,14.0,1139.26,249.48,78.71
264,4,11,2,7,0,4,1,39,0,41.27,9.0,699.16,223.91,45.54
265,4,11,2,3,0,4,1,39,1,41.67,9.0,2863.8,566.44,39.29
266,6,11,4,3,3,4,1,39,0,49.7,9.0,0.0,0.0,35.56
267,0,15,4,0,3,4,1,39,0,20.9,10.0,55.01,98.22,46.08
268,4,15,4,1,1,4,0,39,0,29.5,10.0,1152.71,135.64,21.38
269,4,0,2,3,0,4,1,39,0,57.55,6.0,1052.49,40.75,44.64
270,1,7,4,8,3,4,1,39,0,22.0,12.0,0.0,0.0,20.0
271,6,14,4,10,1,4,0,30,0,61.0,15.0,0.0,0.0,30.0
272,4,9,2,10,0,4,1,39,1,61.67,13.0,18173.7,482.43,55.66
273,2,11,4,3,1,0,1,39,0,34.0,9.0,0.0,0.0,40.0
274,4,15,2,3,0,4,1,39,1,37.96,10.0,779.2,35.17,40.84
275,0,15,4,0,3,4,1,39,0,18.42,10.0,106.16,59.83,40.92
276,4,15,4,7,3,4,1,39,0,28.09,10.0,0.0,0.0,32.86
277,2,11,2,8,0,4,1,39,0,32.17,9.0,1289.11,275.8,33.65
278,4,5,2,7,0,4,1,39,0,35.06,4.0,0.0,0.0,51.04
279,4,7,4,10,1,1,1,39,0,31.0,12.0,0.0,0.0,40.0
280,4,11,0,8,4,0,0,39,0,36.87,9.0,3792.72,0.0,40.0
281,0,11,4,0,3,4,1,39,0,18.26,9.0,0.0,236.84,49.54
282,4,8,0,8,1,4,0,39,0,64.74,11.0,0.0,0.0,15.17
283,4,15,0,7,1,4,1,39,0,34.88,10.0,2331.39,268.63,47.41
284,4,9,4,12,3,4,1,39,0,28.9,13.0,1210.63,402.84,11.21
285,6,9,4,8,1,2,0,39,0,35.0,13.0,0.0,0.0,60.0
286,2,11,5,8,4,4,1,39,1,30.0,9.0,0.0,0.0,40.0
287,4,11,2,3,0,4,1,39,0,50.6,9.0,891.75,775.24,52.12
288,4,15,4,1,3,2,0,39,0,24.74,10.0,0.0,0.0,18.98
289,5,5,6,4,1,4,0,39,0,82.0,4.0,0.0,0.0,40.0
290,4,11,2,10,0,4,1,39,0,62.22,9.0,1101.86,24.03,38.01
291,4,11,2,4,0,4,1,39,0,62.29,9.0,330.08,238.75,59.06
292,6,12,2,10,0,4,1,39,1,49.03,14.0,35490.74,1469.61,40.47
293,4,15,4,8,3,4,0,39,0,22.43,10.0,169.35,216.31,29.77
294,4,8,0,10,1,4,0,39,0,54.02,11.0,0.0,1027.68,44.86
295,4,11,0,1,4,4,0,39,0,40.08,9.0,87.76,263.26,41.52
296,4,3,4,8,1,4,1,8,0,38.89,2.0,0.0,0.0,26.12
297,4,15,2,10,0,4,1,39,1,31.02,10.0,6866.06,209.97,42.74
298,7,9,2,1,0,4,1,39,1,46.19,13.0,4256.7,617.89,39.54
299,4,11,0,8,1,4,0,39,0,51.44,9.0,170.15,431.54,38.51
300,4,11,5,1,1,4,0,39,0,52.48,9.0,0.0,830.13,28.87
301,4,15,2,3,0,4,1,39,0,58.89,10.0,1788.6,269.86,47.53
302,4,15,4,8,3,1,0,39,0,23.0,10.0,0.0,0.0,23.0
303,4,11,5,4,1,4,1,39,1,39.0,9.0,14344.0,0.0,40.0
304,4,11,0,7,4,4,0,39,0,37.94,9.0,0.0,0.0,52.39
305,4,9,4,10,3,4,0,39,0,23.74,13.0,0.0,469.02,37.67
306,4,11,2,6,0,4,1,39,0,19.8,9.0,419.45,487.3,39.8
307,4,11,2,14,0,4,1,39,0,50.48,9.0,1079.94,110.91,55.53
308,4,12,2,12,0,4,1,39,1,32.67,14.0,4470.13,371.42,66.98
309,4,15,2,3,0,4,1,39,0,41.01,10.0,1419.52,489.87,50.24
310,2,11,3,6,4,4,1,39,0,51.0,9.0,0.0,0.0,40.0
311,4,15,2,7,0,4,1,39,0,32.75,10.0,1576.85,237.83,34.16
312,0,15,6,0,1,4,1,39,0,78.0,10.0,0.0,0.0,5.0
313,4,15,2,12,0,4,1,39,1,27.93,10.0,10415.0,166.75,49.94
314,4,11,0,8,1,4,0,39,0,38.71,9.0,74.68,348.28,46.08
315,4,11,0,7,1,4,1,39,0,49.1,9.0,12.39,475.92,35.04
316,6,11,2,4,0,4,1,39,0,59.41,9.0,381.42,0.0,66.27
317,4,0,2,7,0,2,1,39,1,43.0,6.0,0.0,1887.0,40.0
318,4,9,2,3,0,4,1,39,0,32.17,13.0,405.37,0.0,47.78
319,4,8,0,7,1,2,1,39,0,39.49,11.0,0.0,0.0,45.74
320,2,15,0,11,4,2,0,39,0,39.78,10.0,0.0,0.0,40.0
321,5,11,2,4,0,4,1,39,0,65.48,9.0,251.71,174.61,53.26
322,4,11,4,3,1,4,1,39,0,36.94,9.0,3.69,381.57,45.08
323,4,11,2,12,0,4,1,39,0,27.18,9.0,966.49,333.02,43.36
324,4,7,4,6,1,4,1,39,0,29.0,12.0,0.0,0.0,30.01
325,4,11,0,3,1,4,1,39,1,51.02,9.0,391.87,0.0,39.36
326,4,11,4,12,2,4,1,39,0,18.31,9.0,0.0,0.0,47.61
327,4,0,0,3,3,4,1,39,0,24.51,6.0,0.0,0.0,40.0
328,4,15,0,4,1,4,0,39,0,42.35,10.0,545.92,1040.51,30.24
329,4,11,0,1,1,4,0,39,0,26.19,9.0,0.0,294.5,41.76
330,1,11,4,1,3,4,1,39,0,36.66,9.0,0.0,0.0,37.4
331,0,0,0,0,4,4,0,0,0,35.0,6.0,0.0,0.0,16.0
332,4,0,4,8,3,0,0,39,0,17.47,6.0,390.23,0.0,34.07
333,4,12,4,4,1,2,1,39,0,26.42,14.0,709.16,0.0,56.83
334,6,11,2,3,0,2,1,39,0,44.57,9.0,2064.84,0.0,51.12
335,4,9,2,4,0,4,1,39,1,45.74,13.0,15505.46,237.74,49.7
336,4,6,2,3,0,4,1,26,0,26.05,5.0,3674.85,0.0,46.04
337,4,15,2,4,0,4,1,39,0,50.11,10.0,267.25,143.22,56.53
338,4,11,2,7,5,2,0,39,0,42.12,9.0,0.0,1181.07,36.16
339,4,11,4,14,1,4,1,2,0,20.0,9.0,0.0,0.0,45.0
340,4,11,0,4,4,4,0,39,0,36.47,9.0,95.5,13.54,43.25
341,4,9,4,10,1,4,0,39,0,24.62,13.0,222.9,213.46,26.91
342,6,0,0,12,1,4,0,39,0,50.0,6.0,0.0,0.0,50.0
343,4,15,2,10,0,4,1,39,0,47.98,10.0,310.44,100.29,53.75
344,4,11,2,3,0,4,1,39,1,41.8,9.0,7181.27,490.08,53.4
